"tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
0.029089121 -0.12636735 -0.13659716 -0.055290587 0.36174222 -0.13152615 0.87765772 -0.42027815 0.011865659 -0.85815754 -0.84487847 -0.80253077 -0.42305331 0.40863453 -0.32546981 0.03792912 -0.053780821 -0.31765861 0.76679582 -1 0.064956342 -0.42816201 0.088682486 0.22759385 -0.056438963 -0.066269743 -0.50297385 -0.38529209 -0.28850923 -0.08524449 0.12584117 -0.07277521 0.12584117 -0.07277521 -0.030026001 -0.019347421 0.38569316 0.088308146 -0.23525443 -0.41452112 0.036727198 0.11362421 -0.14393676 -0.094014781 0.39252294 -0.19457662 -0.061603734 -0.12827793 -0.35158728 0.048983532 -0.034382806 -0.28737251 -0.28772241 -0.062731481 0.35869803 -0.47278041 0.16487665 0.069247652 0.01604277 -0.27094494 0.055994157 -0.13230276 -0.017285651 -0.026026743 -0.41446519 -0.45617822
0.044666967 -0.10083623 0.11258333 -0.65924046 -0.15119258 0.24256804 0.90706313 -0.20034317 0.23642423 -0.90793605 -0.84085245 -0.70619017 -0.015609144 0.056683689 0.17962418 -0.89735839 -0.87062722 -0.88856851 0.0092250709 0.068511213 0.17380891 -0.86967322 -0.50144744 -0.48787745 -0.12517793 0.041380405 -0.024315707 -0.90128609 -0.92957605 -0.89575237 -0.21509169 -0.22983956 -0.21509169 -0.22983956 -0.8905067 -0.86070282 -0.57356159 -0.56110113 -0.92112041 -0.91730689 -0.7983526 -0.66014359 -0.52402922 -0.61756867 -0.029193183 0.43612693 -0.89760215 -0.88645848 -0.89122912 -0.90646084 -0.86181402 -0.88448007 -0.85119172 -0.75433347 -0.73603264 -0.87581374 -0.39908013 -0.47614945 -0.58179207 -0.21022556 -0.85964133 -0.8614633 -0.76003114 -0.53067846 -0.9192134 -0.91945788
0.051028466 0.0065653695 -0.11217226 -0.60869833 -0.6509741 -0.83342996 -0.34301016 0.86246024 0.463362 -0.20474849 -0.73272616 -0.91387976 0.3307512 -0.04269944 -0.060121755 -0.89068553 -0.70352768 -0.88589443 0.15116583 -0.22362178 0.71543772 -0.8697844 -0.92614353 -0.82611812 -0.13405412 -0.030192121 -0.11996395 -0.83606282 -0.95474748 -0.89864183 -0.68068386 -0.44428454 -0.68068386 -0.44428454 -0.81951975 -0.82632874 -0.63887504 -0.76956798 -0.90963703 -0.91511806 -0.65389448 -0.66946696 -0.83887952 -0.59201195 -0.66264189 -0.84282882 -0.88684091 -0.71907171 -0.86427345 -0.90548764 -0.70606886 -0.90789325 -0.81907818 -0.92859044 -0.83648129 -0.88619242 -0.92508479 -0.83853387 -0.51236131 -0.49517024 -0.82073419 -0.83355778 -0.82798018 -0.7725624 -0.91430849 -0.92181616
0.057515757 -0.18177382 -0.14532284 -0.16213964 0.23905466 -0.43714353 0.92444784 -0.35279131 -0.0097905515 -0.83255265 -0.71389452 -0.8923658 -0.31252435 0.33102996 0.25859767 -0.41431074 -0.2182357 -0.71284032 -0.58965696 0.45631519 -0.045424161 -0.53734363 -0.3985736 -0.2463884 0.079146268 0.0023938707 -0.48818793 -0.61910193 -0.77588768 -0.4117199 0.016446977 -0.29878761 0.016446977 -0.29878761 -0.3908556 -0.44834533 -0.092782675 -0.32565526 -0.64850126 -0.73638826 -0.20662423 0.048707695 -0.50571541 -0.14513437 0.2523748 -0.44367801 -0.44510304 -0.29260738 -0.6626817 -0.43364234 -0.18832472 -0.765127 -0.44197039 -0.57677516 -0.13893592 -0.5678886 -0.31515602 -0.35399485 -0.38003656 -0.36567705 -0.42393324 -0.48456444 -0.4423003 -0.36457963 -0.73183675 -0.76107441
0.061186573 -0.011163862 -0.036830383 -0.65890002 -0.66052635 -0.84146596 -0.36643171 0.95461863 0.20069685 -0.21688991 -0.70639639 -0.79243443 0.34736408 -0.069207846 -0.11038511 -0.93562696 -0.75393344 -0.94899178 0.13732838 -0.10627736 0.71021962 -0.90068286 -0.91355439 -0.90408301 -0.098611893 -0.042735141 -0.10196304 -0.90611815 -0.94855391 -0.93984026 -0.73323008 -0.45057543 -0.73323008 -0.45057543 -0.90231029 -0.80805202 -0.65615091 -0.84588061 -0.94440746 -0.92675501 -0.66618969 -0.68351163 -0.86587779 -0.65586139 -0.66934703 -0.83974588 -0.93070857 -0.76040399 -0.94560605 -0.94795194 -0.76363226 -0.95063483 -0.88028212 -0.91752849 -0.89622893 -0.90715107 -0.91168494 -0.91544432 -0.52118232 -0.49931721 -0.83323289 -0.77916657 -0.89267878 -0.84397968 -0.93522006 -0.92125258
0.06542056 -0.13433575 -0.090421478 -0.37082987 -0.11638473 -0.28479761 0.93981797 -0.19947301 -0.20113794 -0.91410686 -0.74151525 -0.96770183 -0.025099772 0.45533928 0.19497225 -0.49782503 -0.48352468 -0.48833227 0.60894885 -0.21995537 -0.21308793 -0.65762381 -0.52306498 -0.31217314 -0.16341248 -0.046450764 -0.23656294 -0.67228754 -0.63991048 -0.62879641 -0.21788158 -0.34698618 -0.21788158 -0.34698618 -0.46698547 -0.42445079 -0.12688509 -0.5086904 -0.64125656 -0.67395283 -0.40148051 -0.15052003 -0.27131839 -0.35903768 -0.15404669 -0.35141641 -0.48634249 -0.50861953 -0.43129186 -0.55796514 -0.49033692 -0.54414267 -0.59959546 -0.51604769 -0.39240634 -0.67658739 -0.53079481 -0.35059592 -0.30494934 -0.47311537 -0.40446074 -0.45336509 -0.56115125 -0.55695705 -0.67120498 -0.7007277
0.071035289 -0.015656183 -0.094263452 -0.21342438 0.065906916 -0.37962343 0.91002736 -0.34639809 0.016778253 -0.91012543 -0.94978266 -0.93857594 0.33037553 -0.13658129 -0.20774916 -0.16207892 -0.070046777 -0.56313033 0.020868138 -0.19800124 0.12828895 -0.50817512 -0.56995927 -0.39320816 0.11365886 0.097646903 0.00508973 -0.591773 -0.75020379 -0.50508458 -0.15765539 -0.080181111 -0.15765539 -0.080181111 -0.25588863 -0.077301869 -0.40134671 -0.59995598 -0.66380035 -0.70418969 -0.15854785 0.023406741 -0.43781833 -0.23609341 0.020824408 -0.39610822 -0.087942455 -0.10985979 -0.48861527 -0.33689897 -0.088642861 -0.6412226 -0.42671728 -0.60756542 -0.33015689 -0.53490308 -0.55121424 -0.47079876 0.0015644208 -0.27272499 -0.025543527 -0.15358218 -0.62730392 -0.64960266 -0.69065951 -0.7441943
0.073728786 -0.14822575 -0.24110951 -0.35922813 0.17063542 0.139023 0.74252899 -0.25001385 -0.53088483 -0.7512596 -0.67553109 -0.79221644 -0.028058585 0.05079396 -0.29246569 -0.37793475 -0.29188397 -0.50172645 -0.4373822 0.26030642 0.5954912 -0.39797267 -0.58067577 0.02011086 0.095818481 -0.10840566 0.015118217 -0.42660766 -0.65936327 -0.45675853 -0.016179243 -0.23870239 -0.016179243 -0.23870239 -0.35979074 -0.34350115 -0.12699625 -0.2598296 -0.57712838 -0.58143789 -0.3618939 -0.054354654 -0.13221783 -0.35809733 0.20197994 0.18612216 -0.36002925 -0.31670555 -0.47569101 -0.45710393 -0.31261723 -0.52496231 -0.31821636 -0.56824884 -0.17214089 -0.42521454 -0.59147077 -0.017607759 -0.22024203 -0.36740946 -0.3685373 -0.31599241 -0.40557815 -0.29258889 -0.57903337 -0.6123658
0.07654368 -0.3628841 -0.57618401 -0.61677655 -0.15209655 -0.15085569 -0.50179878 0.49067623 -0.80772951 -0.28036492 -0.16560001 0.025192459 0.33678139 0.25498937 0.50014373 -0.91249156 -0.85727027 -0.7559552 0.045361057 0.65585432 0.40145353 -0.40888917 -0.82312431 -0.81530893 -0.11174261 -0.1283027 -0.023000992 -0.56383249 -0.91306807 -0.88149494 -0.20400766 0.13024901 -0.20400766 0.13024901 -0.83176921 -0.78555583 -0.40966554 -0.42183652 -0.80373409 -0.76362931 -0.6532483 -0.52099682 -0.39703399 -0.60307723 -0.061116759 -0.097406943 -0.90262776 -0.84986758 -0.72094522 -0.93396867 -0.87790066 -0.79074144 -0.39268452 -0.83229738 -0.80023815 -0.41979567 -0.81882248 -0.83729131 -0.21200473 0.10610678 -0.76739556 -0.80933109 -0.57729744 -0.42571471 -0.76061318 -0.78425749
0.078156973 -0.027612708 -0.34615379 -0.37372745 0.096341876 0.14316589 0.85418365 -0.36998534 -0.28328007 -0.83659828 -0.840246 -0.6483279 0.29973831 -0.033131347 -0.51159201 -0.33455618 -0.31981618 -0.52583752 -0.44810408 0.0045658665 0.2350646 -0.50564685 -0.47447777 -0.082221558 0.040895537 -0.050034278 -0.11881097 -0.41725684 -0.61066021 -0.46073693 -0.066013136 -0.1621874 -0.066013136 -0.1621874 -0.37446221 -0.28586392 -0.1685337 -0.44755696 -0.54491105 -0.56338357 -0.30954637 -0.053451007 0.040453061 -0.40082566 0.10019886 0.10943263 -0.30645938 -0.32018501 -0.43803603 -0.4308375 -0.3689608 -0.61968223 -0.32000533 -0.43542035 -0.25225188 -0.56557768 -0.50386289 -0.11685809 -0.0512056 -0.36218995 -0.26509309 -0.3155656 -0.45477271 -0.53871623 -0.56906769 -0.58621612
0.079402186 0.14062679 -0.1252977 -0.86741484 0.073153146 -0.94344502 0.77016905 0.4349024 0.075794285 -0.70726606 -0.011946833 -0.99268744 0.15012454 -0.57209822 0.03489524 -0.97608353 -0.90540299 -0.97534922 -0.037053527 -0.10996992 0.52760659 -0.96543463 -0.94368618 -0.92892588 -0.097321854 -0.03324512 -0.013719542 -0.93616204 -0.96739728 -0.97074558 -0.58499446 -0.17504652 -0.58499446 -0.17504652 -0.94899585 -0.94410197 -0.79349078 -0.93320508 -0.96713028 -0.94990093 -0.90063638 -0.15912437 -0.95709919 -0.85599574 0.11236897 -0.93951362 -0.97443049 -0.90796297 -0.97127948 -0.98041661 -0.90901057 -0.97808257 -0.94547348 -0.94788777 -0.92847176 -0.97242759 -0.94150551 -0.93538575 -0.32429286 -0.23018027 -0.94152482 -0.94648692 -0.94820787 -0.93475174 -0.94827122 -0.95542286
0.088292784 -0.026904807 -0.21414841 0.27703377 0.068285706 -0.18760413 0.94258995 0.054756152 0.07235972 -0.91703544 -0.95174102 -0.9323138 0.089115263 -0.078126734 -0.16822353 0.11611017 -0.0055991023 -0.43948106 -0.32197231 -0.15634624 0.089985717 -0.12072936 -0.30356691 -0.15847708 -0.046230913 0.24558114 0.18962155 -0.32123248 -0.52405902 -0.26015837 0.28099606 0.028141697 0.28099606 0.028141697 -0.041297208 0.081371359 0.0049256837 -0.20952002 -0.40645888 -0.53766211 0.2163896 0.023246247 -0.21245818 0.300111 0.024347576 -0.23854645 0.10050904 -0.08118515 -0.33842746 0.031634287 0.011816791 -0.54723676 -0.14126914 -0.29636052 -0.041622951 -0.12666874 -0.31291306 -0.27746128 0.036327025 -0.13642929 0.11359529 0.031156957 -0.27566302 -0.29958032 -0.52471705 -0.58366968
0.097256431 -0.026759697 -0.08157404 0.21358062 0.94949518 -0.19831316 0.92448684 -0.28163112 0.054538938 -0.94720025 -0.929135 -0.94566133 0.4190873 -0.89257378 -0.25999611 -0.12212621 0.47851863 -0.37605174 -0.021550427 -0.10040548 0.053037308 0.093330053 0.02029881 0.25053904 0.35956625 -0.014562688 -0.59589914 -0.020156338 -0.30226714 0.13056471 0.41014227 0.26392855 0.41014227 0.26392855 0.023416185 0.075290472 0.26851603 0.13500462 -0.14356471 -0.26961212 0.074822995 1 -0.17350639 0.26409611 0.79742313 -0.2794087 -0.17909049 0.44205129 -0.32236752 -0.13989645 0.41669499 -0.42717886 0.30957736 -0.025450727 0.40855107 0.023688434 0.040361368 0.079794143 0.18862073 0.10741175 0.11242692 0.018929131 0.06567363 -0.011804149 -0.28313971 -0.30351066
0.10024099 -0.030561538 -0.063009844 0.26718063 -0.15713769 0.48970267 0.91086028 0.0019394378 -0.18763399 -0.92940624 -0.94490422 -0.86800062 0.16035011 0.087555989 -0.065570213 0.13486694 -0.1835267 -0.08269149 -0.024395624 -0.017184889 0.10520326 -0.24826253 -0.13498154 -0.17896967 0.12840322 -0.064796029 -0.018011233 -0.39765189 -0.21529856 -0.28452447 0.29036077 0.40978513 0.29036077 0.40978513 -0.0023542301 0.24175057 -0.071162555 -0.13739117 -0.31957936 -0.18163892 0.26243997 -0.12738481 0.42718292 0.26900218 -0.22686679 0.40530853 0.060296838 -0.21665042 0.073846294 0.11280376 -0.20207909 -0.24876549 -0.12742428 -0.058939378 -0.061487969 -0.28815877 -0.19171228 -0.29645587 0.47980548 0.14904569 0.22344883 0.25525624 -0.13290802 -0.29250868 -0.19031684 -0.22460458
0.10222138 -0.04865811 -0.11641174 0.057574891 0.25851461 -0.086082294 0.83662197 -0.33905604 0.099303884 -0.91210008 -0.93571734 -0.83161174 0.273938 -0.40881761 -0.14579471 0.29769648 0.4444422 -0.25847706 -0.22529401 0.035328937 0.0070729919 -0.010596707 -0.28121541 -0.23658322 0.52044022 -0.1396618 0.048252936 0.06157907 -0.26749434 0.0090618325 0.094583508 0.23127532 0.094583508 0.23127532 0.10016851 0.58219224 -0.061046953 0.17766097 -0.26316936 0.012523034 0.234151 0.4544673 -0.042796926 -0.020685563 0.057859 -0.18869674 0.34759604 0.49095066 -0.1920486 0.11637386 0.27633827 -0.32234579 0.40678617 -0.19231497 0.059689701 -0.14731166 -0.34729249 -0.43396247 0.42330426 -0.082907765 0.5432555 0.6214414 0.10578693 0.024922588 -0.01779882 -0.019605638
0.10569277 -0.039864377 0.0057445288 0.091520173 0.038020297 -0.17873938 0.96882502 -0.25438581 0.010495744 -0.88905416 -0.88524212 -0.91059501 -0.22784924 0.21672849 0.044985774 0.048689115 -0.094533529 -0.5417962 0.3605854 -0.29997632 0.14505501 -0.32958135 0.15477573 -0.14662232 -0.090830218 -0.50022655 0.31059532 -0.43457533 -0.53914094 -0.41942299 0.1239284 -0.019114487 0.1239284 -0.019114487 -0.079176544 -0.10912764 0.16700577 -0.20175312 -0.4646757 -0.60972127 0.042855203 -0.055491668 -0.26972122 0.11013334 0.019772885 -0.1935833 -0.062306829 -0.15409913 -0.45415891 0.069809302 -0.088865676 -0.63624978 -0.26267973 -0.017946208 -0.043395394 -0.35410982 0.24159176 -0.26130808 0.023769115 -0.19630771 -0.045398268 -0.20419695 -0.2365226 -0.31525013 -0.59783022 -0.65389302
0.11384184 -0.11251405 -0.11870617 -0.9091701 -0.67126155 -0.87079183 -0.70617234 0.26241572 0.9773834 -0.59309353 -0.78731062 -0.89075126 0.16934406 0.21041216 -0.068224273 -0.92355782 -0.89106084 -0.93908871 0.17007664 -0.63041387 0.4649914 -0.8298801 -0.90053883 -0.82918682 -0.15552342 0.0056683694 -0.14980786 -0.90383097 -0.93568175 -0.94183941 -0.79362208 -0.70894088 -0.79362208 -0.70894088 -0.92173865 -0.90387119 -0.61293462 -0.70421622 -0.93321129 -0.92537555 -0.88418014 -0.69766028 -0.88980932 -0.92110766 -0.67772598 -0.86959103 -0.91969152 -0.89237119 -0.93097341 -0.93545904 -0.89728262 -0.94583373 -0.81497485 -0.89559939 -0.82402076 -0.83546383 -0.90434153 -0.84636786 -0.71562802 -0.74949341 -0.9041501 -0.90255599 -0.78177858 -0.70689668 -0.92711938 -0.9278229
